1, 1, 0
45, 5, 7
74, 5.1, 4
102, 7.3, 4
149, 4, 4
172, 3.2, 4
219, 10.1, 4
231, 9.4, 4
290, 8.5, 5
302, 3, 6
359, 7.4, 6
364, 5.2, 5
444, 8.2, 2
485, 3.2, 8
515, 3.32, 5
517, 4.33, 5
571, 8.3, 3
610, 4.2, 4
623, 5.1, 6
633, 8.1, 4
636, 5.42, 5
656, 3.32, 5
670, 5.3, 5
694, 4.2, 7
697, 3.31, 5
699, 4.1, 3
800, 4.3, 5
817, 9.1, 5
835, 8, 4
903, 4, 4
922, 5.2, 3
977, 1.1, 0
995, 7.1, 1
1019, 8.3, 5
1025, 3, 4
1033, 10.2, 4
1045, 9.1, 3
1053, 8.1, 3
1137, 5.3, 5
1138, 4.4, 3
1196, 4.3, 5
1210, 4, 6
1236, 7.3, 3
1253, 7.4, 6
1254, 4.2, 4
1282, 4, 4
1321, 8, 2
1336, 5.1, 4
1355, 6.1, 2
1365, 4.1, 7
1387, 7.4, 6
1399, 4.3, 5
1407, 5.4, 5
1451, 3.2, 6
1452, 4.1, 4
1466, 5, 4
1469, 5.2, 5
1479, 4.2, 4
1500, 5.2, 4
1518, 4.3, 3
1519, 8.1, 2
1520, 3.1, 7
1561, 5.1, 4
1578, 7.3, 3
1582, 10.2, 1
1651, 5.2, 4
1683, 9.4, 4
1738, 6, 2
1829, 4.1, 7
1885, 5.41, 5
1914, 6.1, 4
1948, 5.2, 5
1958, 5.1, 6
2010, 4.2, 4
2029, 4.1, 6
2050, 4.2, 5
2058, 8.1, 4
2059, 7.2, 7
2067, 8.1, 5
2176, 7.2, 7
2180, 5.1, 5
2222, 3.3, 3
2227, 5.4, 4
2260, 5, 7
2261, 4.4, 4
2339, 5.5, 4
2351, 7.1, 3
2362, 5.1, 7
2367, 7.1, 1
2407, 5.1, 4
2556, 5.4, 4
2671, 4.2, 4
2686, 8.3, 5
2713, 6, 4
2826, 4.4, 4
2883, 8.3, 3
2927, 6, 7
2928, 5.3, 5
2946, 5, 4
2947, 5.1, 4
2973, 3.2, 5
2982, 7, 3
3013, 4.2, 5
3047, 3.1, 3
3210, 5.1, 4
3221, 9.2, 7
3255, 3.3, 6
3293, 7.3, 6
3296, 7, 6
3315, 3, 4
3317, 5.2, 5
3326, 9.2, 3
3352, 4.2, 7
3353, 4.2, 3
3358, 4.1, 2
3401, 10.2, 7
3504, 6.1, 4
3547, 6.2, 6
3564, 6.4, 6
3568, 6.1, 4
3611, 5, 4
3632, 7.3, 3
3716, 5.3, 2
3721, 7.2, 5
3726, 5.1, 6
3749, 7.2, 3
3764, 10.6, 3
3791, 6.1, 4
3900, 13.99, 9
3922, 3.3, 5
3967, 3.32, 5
3979, 10.2, 2
3992, 9.2, 3
4016, 10.1, 4
4063, 4.2, 7
4086, 5.2, 8
4103, 9.4, 4
4107, 3.1, 7
4167, 2, 2
4197, 9.4, 4
4211, 3.33, 5
4240, 5.1, 3
4258, 6.1, 2
4275, 8.1, 4
4319, 5.5, 4
4362, 8.3, 3
4365, 4.1, 6
4369, 7.3, 4
4402, 3.7, 5
4455, 4.2, 4
4568, 4, 4
4579, 7, 6
4608, 4.6, 5
4619, 13.99, 9
4645, 3.33, 5
4663, 7.3, 2
4674, 10, 5
4677, 5, 4
4722, 5.3, 4
4725, 8.3, 6
4731, 6.3, 6
4739, 3.1, 6
4740, 7.3, 3
4753, 8.2, 3
4766, 4, 2
4778, 3.1, 5
4847, 4.3, 4
4851, 5, 4
4914, 10.6, 3
4918, 2.2, 0
4924, 3.1, 5
4934, 9.3, 7
4974, 7.4, 5
5028, 8.1, 5
5099, 3.1, 7
5225, 7.2, 6
5240, 7, 4
5243, 3, 4
5261, 4, 2
5268, 3.32, 5
5278, 5.1, 6
5307, 5.1, 8
5329, 4.1, 7
5333, 3.2, 3
5368, 5, 6
5386, 4.2, 5
5430, 8, 3
5434, 5.5, 4
5489, 3.31, 5
5497, 5.3, 6
5510, 5.1, 4
5535, 3.3, 3
5546, 3, 4
5585, 5.1, 7
5697, 9.4, 5
5735, 4.1, 4
5737, 4.5, 8
5741, 4, 2
5769, 5, 7
5777, 3.3, 4
5832, 10.2, 5
5840, 8.3, 3
5843, 3, 7
5989, 3.4, 4
6065, 4.2, 5
6122, 5.2, 5
6128, 5.3, 5
6217, 5.1, 4
6262, 4.2, 7
6297, 3.3, 4
6310, 5.3, 4
6342, 7, 3
6380, 8.3, 2
6396, 5.4, 3
6450, 4.2, 7
6456, 1.1, 8
6483, 4.6, 5
6510, 3.2, 5
6542, 10.3, 5
6545, 4.3, 5
6600, 9.1, 3
6623, 5.2, 7
6649, 6.2, 4
6686, 7.1, 4
6717, 3.7, 5
6723, 8, 3
6728, 8.1, 4
6738, 10.4, 2
6768, 8.5, 3
6774, 6, 2
6778, 5, 2
6795, 4, 2
6886, 9.3, 5
6891, 10.2, 7
6895, 5.1, 2
6923, 8.1, 1
6924, 10.2, 7
6949, 5.2, 5
6970, 8.2, 3
6992, 5.1, 7
7011, 3.1, 4
7080, 4.2, 7
7094, 6.2, 6
7095, 6.1, 0
7109, 9, 1
7110, 5.4, 5
7132, 4, 2
7177, 4.2, 4
7182, 8.3, 3
7198, 8.2, 3
7210, 4, 2
7365, 9.2, 3
7376, 5.3, 5
7406, 8.3, 3
7433, 3.36, 5
7441, 5.1, 5
7461, 5.1, 7
7620, 3.2, 4
7635, 5.3, 4
7656, 3.8, 5
7660, 5.2, 4
7677, 3, 5
7712, 9.4, 4
7741, 10.4, 2
7749, 9.4, 4
7865, 7, 6
7895, 4.2, 5
7955, 10.1, 0
7960, 7.1, 7
7989, 5.3, 5
8087, 8.2, 3
8090, 9.3, 5
8107, 6.4, 2
8140, 5.1, 5
8142, 3.3, 6
8158, 5.2, 4
8211, 4, 5
8218, 3.7, 4
8220, 6.2, 3
8236, 5.1, 4
8240, 4.1, 6
8274, 6.1, 0
8330, 4.1, 8
8365, 5.1, 7
8379, 7.4, 6
8380, 5.4, 4
8382, 5.1, 5
8388, 4, 8
8414, 4.2, 6
8443, 3.2, 3
8457, 4.2, 3
8462, 3, 4
8481, 5.1, 2
8515, 5.4, 7
8565, 7.4, 6
8570, 7.2, 6
8583, 9.1, 3
8659, 3.4, 7
8663, 4, 4
8697, 6, 6
8704, 7.3, 3
8777, 6, 8
8782, 7, 6
8827, 4.5, 5
8832, 9, 4
8836, 4.3, 8
8864, 3.32, 5
8866, 8, 6
8901, 8, 2
8967, 9.3, 4
8968, 4.1, 7
8972, 5.4, 7
8992, 5.3, 5
